code,name,address,postal_code,lat,lng
AN,Annesley Hall,95  Queen's Park,M5S 2C7,43.66779645,-79.3929660491872
AP,Anthropology Building,19  Russell Street,M5S 2S2,43.65986665,-79.3984687751243
AB,Astronomy & Astrophysics Building,50  St. George Street,M5S 3H4,43.6606495,-79.3973774181251
BK,Back Campus Fields,20 Tower Road,,43.6640508,-79.395423
BA,Bahen Centre for Information Technology,40  St. George Street,M5S 2E4,43.65977015,-79.3972632658009
BF,Bancroft Building,4  Bancroft Avenue,M5S 1C1,43.6607568,-79.4002917
BI,Banting Institute,100  College Street,M5G 1L5,43.66057475,-79.3884051860668
CB,Best Institute,112  College St,M5G 1L6,43.660007,-79.390181
BC,Birge-Carnegie Library,75a   Queen's Park,M5S 1K7,43.6599803,-79.3903686
FE,Bloor Street West-371,371  Bloor Street West,M5S 2R7,43.666534,-79.4029259957168
NB,Borden Building North,563  Spadina Crescent,M5S 2J7,43.6604591,-79.4001278
SB,Borden Building South,487  Spadina Crescent,M5S 2T4,43.6599887,-79.3997904
BR,Brennan Hall,81  St. Mary Street,M5S 1J4,43.666898,-79.390613
BW,Burwash Hall,89  Charles Street West,M5S 1K6,43.66746185,-79.3917055180478
LB,Burwash Residence (Lower Houses),89  Charles Street West,M5S 1K6,43.66746185,-79.3917055180478
UB,Burwash Residence (Upper Houses),89  Charles Street West,M5S 1K6,43.66746185,-79.3917055180478
NL,C. David Naylor Building,6  Queen's Park Crescent West,M5S 3H2,43.66057,-79.391352
CG,Canadiana Gallery,14  Queen's Park Crescent West,M5S 3K9,43.6609287,-79.3917718
CR,Carr Hall,100  St. Joseph Street,M5S 1J4,43.66496,-79.391029
ST,Central Steam Plant,17  Russell Street,M5S 2S2,43.6599515,-79.3979185789142
C1,Charles St. West-30,30 Charles Street West,M4Y 1R5,43.6685606,-79.3869888
C2,Charles St. West-35,35 Charles Street West,M4Y 1R6,43.6681893,-79.3876367
LH,Charles Street West-65,65  Charles Street West,M5S 1K5,43.6678404,-79.3899027246639
CN,Chestnut Residence and Conference Centre,89  Chestnut Street,M5G 1R1,43.6542315,-79.3851482288685
BN,Clara Benson Building,320  Huron Street,M5S 3J7,43.6695139,-79.4024423
BL,Claude T. Bissell Building,140  St. George Street,M5S 3G6,43.6650297,-79.3993425204167
CZ,College Street-229,229  College Street,M5T 1R4,43.6582321,-79.397415
