code,name,address,postal_code,lat,lng
AN,Annesley Hall,95  Queen's Park,M5S 2C7,43.66779645,-79.39296604918721
AP,Anthropology Building,19  Russell Street,M5S 2S2,43.65986665,-79.39846877512429
AB,Astronomy & Astrophysics Building,50  St. George Street,M5S 3H4,43.6606495,-79.39737741812507
BK,Back Campus Fields,20 Tower Road,,43.6640508,-79.395423
BA,Bahen Centre for Information Technology,40  St. George Street,M5S 2E4,43.65977015,-79.39726326580087
BF,Bancroft Building,4  Bancroft Avenue,M5S 1C1,43.6607568,-79.4002917
BI,Banting Institute,100  College Street,M5G 1L5,43.66057475,-79.38840518606679
CB,Best Institute,112  College St,M5G 1L6,43.660007,-79.390181
BC,Birge-Carnegie Library,75a   Queen's Park,M5S 1K7,43.6686046,-79.3940904
FE,Bloor Street West-371,371  Bloor Street West,M5S 2R7,43.666534,-79.40292602851179
NB,Borden Building North,563  Spadina Crescent,M5S 2J7,43.6604591,-79.4001278
SB,Borden Building South,487  Spadina Crescent,M5S 2T4,43.6599887,-79.3997904
BR,Brennan Hall,81  St. Mary Street,M5S 1J4,43.666680150000005,-79.39042076336014
BW,Burwash Hall,89  Charles Street West,M5S 1K6,43.667461849999995,-79.3917055180478
LB,Burwash Residence (Lower Houses),89  Charles Street West,M5S 1K6,43.667461849999995,-79.3917055180478
UB,Burwash Residence (Upper Houses),89  Charles Street West,M5S 1K6,43.667461849999995,-79.3917055180478
NL,C. David Naylor Building,6  Queen's Park Crescent West,M5S 3H2,43.6603477,-79.39208585949467
CG,Canadiana Gallery,14  Queen's Park Crescent West,M5S 3K9,43.6609287,-79.3917718
CR,Carr Hall,100  St. Joseph Street,M5S 1J4,43.66521745,-79.39052251152637
ST,Central Steam Plant,17  Russell Street,M5S 2S2,43.659951500000005,-79.39791857891424
C1,Charles St. West-30,30 Charles Street West,M4Y 1R5,43.6685606,-79.3869888
C2,Charles St. West-35,35 Charles Street West,M4Y 1R6,43.6681893,-79.3876367
LH,Charles Street West-65,65  Charles Street West,M5S 1K5,43.6678404,-79.38990272466393
CN,Chestnut Residence and Conference Centre,89  Chestnut Street,M5G 1R1,43.654231499999995,-79.3851482288685
BN,Clara Benson Building,320  Huron Street,M5S 3J7,43.6695139,-79.4024423
BL,Claude T. Bissell Building,140  St. George Street,M5S 3G6,43.665029700000005,-79.39934252041671
CZ,College Street-229,229  College Street,M5T 1R4,43.6582321,-79.397415
ZC,College Street-88,88  College Street,M5G 1L4,43.6608794,-79.3878494044773
CX,Communications House,167 College Street,,43.6590067,-79.3935932
CH,Convocation Hall,31  King's College Circle,M5S 1A1,43.66076995,-79.3954332242372
